ID Ocorrência;Data/Hora Ocorrência;Faixa 1 Hora Fato;Mês;Ano;Dia da Semana;Status Registro;Natureza Principal;Tentado/Consumado Nat Principal;Causa Presumida;Meio Utilizado;Perímetro;Local Imediato;Bairro;Município (Código);Município (Fato);UF - Sigla;Número Envolvido/Ocorrência;Condução à Delegacia;Tipo Envolvimento;Raça/Etnia;Idade Aparente;Sexo - Código;LGBTQIA+?;Identidade de Gênero;Orientação Sexual;Escolaridade;Relação Vítima/Autor;Bairro (Envolvido);Município (Envolvido);UF - Sigla (Envolvido);Natureza Delito (Envolvido);Tentado/Consumado Delito (Envolvido)
A2025ID10095;31/12/2025 11:09;De 11:00 as 11:59;12;2025;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;CENTRO;314330;MONTES CLAROS;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;IGNORADA;35;F;Sim;NAO INFORMADA;HOMOSSEXUAL;ENSINO MEDIO COMPLETO (2º GRAU);IGNORADA;CLARINDO LOPES;MONTES CLAROS;MG;INJURIA;Consumado
A2025ID10096;30/12/2025 16:05;De 16:00 as 16:59;12;2025;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;CASCATINHA;313670;JUIZ DE FORA;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PRETO;35;M;Sim;NAO INFORMADA;HOMOSSEXUAL;SUPERIOR COMPLETO;SEM RELACIONAMENTO;NOVA CALIFORNIA;JUIZ DE FORA;MG;INJURIA;Consumado
A2025ID10097;29/12/2025 16:30;De 16:00 as 16:59;12;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;PLANALTO;310620;BELO HORIZONTE;MG;2;SEM PRISAO;AUTOR;IGNORADA;40;F;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;PLANALTO;BELO HORIZONTE;MG;INJURIA;Consumado
A2025ID10097;29/12/2025 16:30;De 16:00 as 16:59;12;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;PLANALTO;310620;BELO HORIZONTE;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;32;M;Sim;HOMEM CISGÊNERO;HOMOSSEXUAL;SUPERIOR COMPLETO;VIZINHO;PLANALTO;BELO HORIZONTE;MG;INJURIA;Consumado
A2025ID10114;28/12/2025 18:15;De 18:00 as 18:59;12;2025;Domingo;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;LOCAL DE EVENTO ESPORTIVO / ESTADIO / AUTODRO;ANTENA;315725;SANTA BARBARA DO LESTE;MG;1;SEM PRISAO;AUTOR;IGNORADA;28;M;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;;;;INJURIA RACIAL;Consumado
A2025ID10114;28/12/2025 18:15;De 18:00 as 18:59;12;2025;Domingo;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;LOCAL DE EVENTO ESPORTIVO / ESTADIO / AUTODRO;ANTENA;315725;SANTA BARBARA DO LESTE;MG;2;;VITIMA DE ACAO CRIMINAL / CIVEL;PRETO;35;M;Sim;NAO INFORMADA;HOMOSSEXUAL;SUPERIOR COMPLETO;IGNORADA;CENTRO;BOM JESUS DO GALHO;MG;INJURIA RACIAL;Consumado
A2025ID10116;28/12/2025 17:00;De 17:00 as 17:59;12;2025;Domingo;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MOTEL / DRIVE-IN;;314610;OURO PRETO;MG;4;SEM PRISAO;AUTOR;PARDA;47;F;Não;NAO INFORMADA;NAO INFORMADA;ALFABETIZADO;;;OURO PRETO;MG;FALSIFICA DOCUMENTO PARTICULAR;Consumado
A2025ID10116;28/12/2025 17:00;De 17:00 as 17:59;12;2025;Domingo;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MOTEL / DRIVE-IN;;314610;OURO PRETO;MG;3;SEM PRISAO;AUTOR;PARDA;23;F;Não;NAO INFORMADA;NAO INFORMADA;ALFABETIZADO;;NOSSA SENHORA DA PIEDADE;OURO PRETO;MG;INJURIA RACIAL;Consumado
A2025ID10116;28/12/2025 17:00;De 17:00 as 17:59;12;2025;Domingo;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MOTEL / DRIVE-IN;;314610;OURO PRETO;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;25;F;Sim;MULHER CISGÊNERO;HOMOSSEXUAL;ENSINO MEDIO COMPLETO (2º GRAU);COLEGA DE TRABALHO / SUPERIOR HIERARQUICO;SAO CRISTOVAO;OURO PRETO;MG;INJURIA RACIAL;Consumado
A2025ID10119;28/12/2025 11:09;De 11:00 as 11:59;12;2025;Domingo;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;PARAISO;310620;BELO HORIZONTE;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;IGNORADA;27;M;Não;NAO INFORMADA;NAO INFORMADA;SUPERIOR INCOMPLETO;VIZINHO;PARAISO;BELO HORIZONTE;MG;INJURIA;Consumado
